PCN,ExpRep,rate_of_gain_log(transposon copy),rate_of_gain_log(plasmid copy),rate_of_gain_log(T/P),Kan,averagePCN,Jumping
Chromosome,1,-0.0009146945694148897,,,1,0.0,0
Chromosome,2,-0.011469423402226666,,,1,0.0,0
Chromosome,3,0.0009562801553880418,,,1,0.0,0
Chromosome,4,-0.020832149510614725,,,1,0.0,0
Chromosome,5,0.0027246652450342874,,,1,0.0,0
pBR322,1,0.014537955294153795,0.020382921987870593,-0.005795217891597291,1,33.42268050441006,0
pBR322,2,0.011651409654214526,0.01678281955650325,-0.005219846929158194,1,33.42268050441006,0
pBR322,3,0.01506857224210925,0.020754562605495824,-0.00565338350331268,1,33.42268050441006,0
pBR322,4,0.012076791910455237,0.018318039203938475,-0.0062491623758415505,1,33.42268050441006,0
pBR322,5,0.014857079115885996,0.02162723459576424,-0.006910655818473988,1,33.42268050441006,0
CloDF,1,0.033752151598800774,0.04237249177783196,-0.008307281885497888,1,109.80701750690956,0
CloDF,2,0.04976331911847417,0.046286972266260835,0.0035561600284955155,1,109.80701750690956,0
CloDF,3,0.02935102815649669,0.037530489452621746,-0.00787608213544576,1,109.80701750690956,0
CloDF,4,0.03293073055009679,0.03726315885887554,-0.004216248809300328,1,109.80701750690956,0
CloDF,5,0.025292830275776435,0.03251527923130373,-0.007318618459920545,1,109.80701750690956,0
pUC,1,0.2041759358208718,0.1013862742221674,0.4746147300348298,1,2234.5319026463712,0
pUC,2,0.17987581870699987,0.014533783908021935,0.2877330806717096,1,2234.5319026463712,0
pUC,3,0.0,0.0,,1,2234.5319026463712,0
pUC,4,0.0,0.0,,1,2234.5319026463712,0
pUC,5,0.0,0.0,,1,2234.5319026463712,0
Chromosome,1,-0.0009146945694148897,,,0,0.0,0
Chromosome,2,-0.011469423402226666,,,0,0.0,0
Chromosome,3,0.0009562801553880418,,,0,0.0,0
Chromosome,4,-0.020832149510614725,,,0,0.0,0
Chromosome,5,0.0027246652450342874,,,0,0.0,0
pBR322,1,0.00964970854400586,0.040740661712646155,-0.030907799914921878,0,33.42268050441006,0
pBR322,2,0.015561497902383923,0.04681137210265207,-0.03130960329278756,0,33.42268050441006,0
pBR322,3,0.020698586699866472,0.053614826699829456,-0.032881757141327315,0,33.42268050441006,0
pBR322,4,0.019166945924401546,0.05118515441772012,-0.032009007117381784,0,33.42268050441006,0
pBR322,5,0.011151609464412965,0.043390175940324495,-0.03224357881691191,0,33.42268050441006,0
CloDF,1,0.09038458151449962,0.1178783512736593,-0.027585279082885914,0,109.80701750690956,0
CloDF,2,0.08529775078978201,0.11302308203038497,-0.027654360849864695,0,109.80701750690956,0
CloDF,3,0.06729381905757426,0.09138014804959933,-0.024362987390484692,0,109.80701750690956,0
CloDF,4,0.0772347588310865,0.10424830469838359,-0.026917207074859107,0,109.80701750690956,0
CloDF,5,0.07756094278079394,0.10420416443127511,-0.02662999339361936,0,109.80701750690956,0
pUC,1,0.0,0.0,,0,2234.5319026463712,0
pUC,2,0.0,0.0,,0,2234.5319026463712,0
pUC,3,0.0,0.0,,0,2234.5319026463712,0
pUC,4,0.0,0.0,,0,2234.5319026463712,0
pUC,5,0.0,0.0,,0,2234.5319026463712,0
