Plasmid,PCN,Kan,rate_of_loss_log(GFP/OD),mean_of_loss_rate(log(GFP/OD)),std_of_loss_rate(log(GFP/OD)),ci_lower,ci_upper,tet,Jumping
pBR322,60.0,1,0.012784426279818987,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,1,0.00440700522227798,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,1,0.007008873090893104,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,1,0.002298260763045932,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,1,0.006215231004878737,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,0,0.019172951879085003,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,0,0.02330776865064913,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,0,0.021729970614958356,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,0,0.023503184106378312,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
pBR322,60.0,0,0.01845238996278012,0.013888006157476568,0.007893463407460107,0.005994542750016461,0.021781469564936675,10,0
CloDF13,100.0,1,0.10022545228450737,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,1,0.09505360372057566,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,1,0.08575688777028936,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,1,0.09178139398565502,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,1,0.08667332786388567,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,0,0.14668935396354277,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,0,0.14057493784654584,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,0,0.1373507391324444,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,0,0.1432028406866228,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
CloDF13,100.0,0,0.13889185773451823,0.11662003949885871,0.02512097443659337,0.09149906506226535,0.14174101393545208,10,0
pUC,200.0,1,0.20082408207858368,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,1,0.18886360816520856,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,1,0.24448656260666526,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,1,0.2502278783206214,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,1,0.2519618766271299,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,0,0.2864411506884393,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,0,0.28904624921532157,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,0,0.2689455305271334,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,0,0.2642756728245979,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
pUC,200.0,0,0.26433957269776537,0.2509412183751466,0.03130860523562132,0.21963261313952528,0.2822498236107679,10,0
Chromosome,0.0,0,0.0019659567697817987,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,0,-0.0024412626530982027,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,0,0.00803774681165038,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,0,0.008993371770103474,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,0,0.00702130937413149,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,1,0.0019659567697817987,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,1,-0.0024412626530982027,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,1,0.00803774681165038,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,1,0.008993371770103474,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
Chromosome,0.0,1,0.00702130937413149,0.004715424414513789,0.0043228117527335415,0.00039261266178024744,0.00903823616724733,10,0
