PCN,ExpRep,rate_of_loss_log(transposon copy),rate_of_loss_log(plasmid copy),rate_of_loss_log(T/P),Kan,averagePCN,Jumping
Chromosome,1,0.0010958576539966704,,,1,,0
Chromosome,2,-0.009503920640486796,,,1,,0
Chromosome,3,0.001019856906136753,,,1,,0
Chromosome,4,-0.00778068750981967,,,1,,0
Chromosome,5,0.0037085801560780406,,,1,,0
pBR322,1,0.007440290575558235,0.01107084500598046,-0.003556090210007552,1,33.42268050441006,0
pBR322,2,0.0054834051374470115,0.006565998451532486,-0.0012002982912214914,1,33.42268050441006,0
pBR322,3,0.009356837228382694,0.010223204852990511,-0.0008369582784662639,1,33.42268050441006,0
pBR322,4,0.004815476280884567,0.006611074002141802,-0.0017959593289747985,1,33.42268050441006,0
pBR322,5,0.00863093068988554,0.010358175488444608,-0.0017742750908650712,1,33.42268050441006,0
CloDF,1,0.09176497935336762,0.10687855197319496,-0.014632233337100647,1,109.80701750690956,0
CloDF,2,0.10130188876953596,0.08111937674191166,0.020589899380617796,1,109.80701750690956,0
CloDF,3,0.0884080895774288,0.10003682471165594,-0.011143965197556683,1,109.80701750690956,0
CloDF,4,0.08818953584775213,0.09249416466812665,-0.00380146314197706,1,109.80701750690956,0
CloDF,5,0.08905259228227096,0.0879609293421073,0.0013649911957387222,1,109.80701750690956,0
pUC,1,0.6400227158197859,0.14790315691546693,0.49172855706258095,1,2234.5319026463712,0
pUC,2,0.3785217363342525,0.08131156034778882,0.2974510366023165,1,2234.5319026463712,0
pUC,3,1.2207651726761912,0.20518684378285834,1.013025839562192,1,2234.5319026463712,0
pUC,4,1.2384459578889895,0.21086250378319168,1.024944582996154,1,2234.5319026463712,0
pUC,5,1.2730134967993831,0.20527191107349788,1.0673053611535315,1,2234.5319026463712,0
Chromosome,1,0.0010958576539966704,,,0,,0
Chromosome,2,-0.009503920640486796,,,0,,0
Chromosome,3,0.001019856906136753,,,0,,0
Chromosome,4,-0.00778068750981967,,,0,,0
Chromosome,5,0.0037085801560780406,,,0,,0
pBR322,1,0.01409737387146763,0.029830158701417864,-0.015508694421843485,0,33.42268050441006,0
pBR322,2,0.019359894179236063,0.033814340116797494,-0.014539754251510453,0,33.42268050441006,0
pBR322,3,0.02506178469354986,0.040332557464889965,-0.015203980777728734,0,33.42268050441006,0
pBR322,4,0.019129712772073895,0.033256444435595243,-0.014138030943757533,0,33.42268050441006,0
pBR322,5,0.013363849332656719,0.027088576668556713,-0.013774609135185781,0,33.42268050441006,0
CloDF,1,0.15629082629829957,0.17039341259653007,-0.014213817347438646,0,109.80701750690956,0
CloDF,2,0.15390552130359822,0.16306475859797437,-0.009093923426140916,0,109.80701750690956,0
CloDF,3,0.14400433299261914,0.16456326155866172,-0.02097622496121286,0,109.80701750690956,0
CloDF,4,0.15004342533134707,0.15716431147907187,-0.007094617879084088,0,109.80701750690956,0
CloDF,5,0.14650635997352493,0.15599700479734172,-0.00954315743259902,0,109.80701750690956,0
pUC,1,1.3061958075238689,0.6066728814581497,0.6965321614467419,0,2234.5319026463712,0
pUC,2,1.2974242032308416,0.5705450396886582,0.7260435225647062,0,2234.5319026463712,0
pUC,3,1.2968374271635075,0.5993918685703765,0.6910587989546843,0,2234.5319026463712,0
pUC,4,1.3082452424621198,0.5943825570647515,0.7128310084401784,0,2234.5319026463712,0
pUC,5,1.3091413127642446,0.5642740478417014,0.7391328728408149,0,2234.5319026463712,0
