Day,ExpRep,PCN,log(transposon copy),log(plasmid copy),transposon copy,plasmid copy,T/P,Kan
0,1,pUC,3.800527224096534,4.089631298075318,6351.707365350693,12341.942842495324,0.5141188959557708,Kan
0,2,pUC,3.800527224096534,4.089631298075318,6351.707365350693,12341.942842495324,0.5141188959557708,Kan
0,3,pUC,3.800527224096534,4.089631298075318,6351.707365350693,12341.942842495324,0.5141188959557708,Kan
0,4,pUC,3.800527224096534,4.089631298075318,6351.707365350693,12341.942842495324,0.5141188959557708,Kan
0,5,pUC,3.800527224096534,4.089631298075318,6351.707365350693,12341.942842495324,0.5141188959557708,Kan
1,1,pUC,3.3925224124818496,4.008869038884961,2494.0999345515634,10404.871668093185,0.24246787896917568,Kan
1,2,pUC,3.4693119099863083,4.019906762477553,2999.9974080138504,10533.29526781634,0.28393758931184737,Kan
1,3,pUC,3.662261154996554,4.313860056904391,9416.887544580393,41723.66017663059,0.22313311183653362,Kan
1,4,pUC,3.334540143856201,4.019819853338124,2174.844942815755,10487.225962440152,0.20689174084514886,Kan
1,5,pUC,3.3674469981362045,4.046174326324037,2364.7279699763794,11229.669116414247,0.20998577833012963,Kan
2,1,pUC,2.0376201782932966,3.505674888190692,109.54676106318487,3212.5814330155663,0.034061565785707175,Kan
2,2,pUC,1.9197108229874884,3.4408886895575184,83.52925768574046,2771.5755965030307,0.030121389582556505,Kan
2,3,pUC,2.0653417921863846,3.47093663353318,116.48450182102431,2964.145577999175,0.03933909052170883,Kan
2,4,pUC,1.2509386297178913,3.3115262832413443,17.846669781364156,2049.460218205915,0.008703611886882815,Kan
2,5,pUC,1.660600936167796,3.275610345294176,45.93840423980896,1892.878411306085,0.02427998221716802,Kan
3,1,pUC,-0.12155296234798774,3.2473733323554375,0.7578058087907998,1768.624294360391,0.000427956584549525,Kan
3,2,pUC,0.029220052099807676,3.256872620525747,1.0750577400183299,1813.1665248056322,0.0005922237874427132,Kan
3,3,pUC,0.14118398187866657,3.372144257849166,1.3859662679236404,2364.540943762487,0.0005882817252142794,Kan
3,4,pUC,-0.7391484124684787,3.2718587970740085,0.1829928336119729,1875.990433747813,9.757537514389887e-05,Kan
3,5,pUC,-0.4560228269572259,3.297135785586674,0.35051120048950085,1983.6699032150661,0.00017697280885073426,Kan
4,1,pUC,-2.1630159735157246,2.7993962022756187,0.00687951460882246,631.8472584390021,1.0972390295835643e-05,Kan
4,2,pUC,-1.8651729103863277,2.8406462893154445,0.013655874427703244,694.7133971879562,1.971650293059208e-05,Kan
4,3,pUC,-2.3018024895337708,2.6571909315200677,0.005004368375360975,458.5456031005422,1.1027899542795906e-05,Kan
4,4,pUC,-0.23872536468844116,2.4148354231273803,1.6186757707139352,529.1472455235166,0.10143673323929919,Kan
4,5,pUC,-2.6905191847853076,2.836136356109081,0.002057100635525644,689.8115331081558,2.981524906819601e-06,Kan
5,1,pUC,-3.6237962715987813,2.672499406568791,0.00024037025716752453,470.54896489882293,5.124787076509766e-07,Kan
5,2,pUC,-1.0661060194815677,2.7401112479801752,0.08596407277204264,550.130439228556,0.00015625467656712536,Kan
5,3,pUC,-4.095666317216378,2.762220692928309,8.27358054548506e-05,583.4928380589653,1.4713015360352217e-07,Kan
5,4,pUC,-4.372493272610514,2.7275020685817224,6.36047175672376e-05,536.2597044929404,1.2322982797967133e-07,Kan
5,5,pUC,-4.43391203479444,2.7639973698306597,3.80373116877824e-05,582.7550705413588,6.562934091791399e-08,Kan
6,1,pUC,2.662015627369182,3.943254058087471,459.48201737902497,8793.829001866961,0.05236129767501773,Kan
6,2,pUC,2.001520379991528,2.5760654385877775,100.50781082111295,380.5437425766441,0.26759877733079235,Kan
6,3,pUC,-1.9584188304647483,1.8806147573846914,0.011192351406744823,75.99916377698261,0.0001479508238097494,Kan
