Plasmid,PCN,Kan,rate_of_loss_log(GFP/OD),mean_of_loss_rate(log(GFP/OD)),std_of_loss_rate(log(GFP/OD)),ci_lower,ci_upper,tet,Jumping
pBR322,60.0,1,0.0311574560512903,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,1,0.020694795368084908,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,1,0.02114628397084662,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,1,0.025752400822104893,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,1,0.029091779474765708,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,0,0.05485460432425103,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,0,0.06012596807136296,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,0,0.06441753602475797,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,0,0.05293633820189754,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
pBR322,60.0,0,0.06252155903139359,0.04226987213407555,0.017243270203247,0.02502660193082855,0.05951314233732255,10,1
CloDF13,100.0,1,0.060110701735287826,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,1,0.06166401100385357,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,1,0.06803835360752146,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,1,0.0734534059161593,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,1,0.06803589973072578,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,0,0.12007467924282077,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,0,0.12338551802634853,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,0,0.12860051051454996,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,0,0.12752233908387026,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
CloDF13,100.0,0,0.13246130704694403,0.09633467259080815,0.030419582718031427,0.06591508987277672,0.12675425530883958,10,1
pUC,200.0,1,0.19780812055622438,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,1,0.19218331906230185,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,1,0.20514440007288173,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,1,0.1964679723741718,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,1,0.19092200979073004,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,0,0.20833053166905577,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,0,0.2243954689463299,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,0,0.2138066954156296,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,0,0.21107865599791897,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
pUC,200.0,0,0.21050940819310504,0.2050646582078349,0.01009501345638028,0.19496964475145462,0.21515967166421518,10,1
