PCN,ExpRep,rate_of_loss_log(transposon copy),rate_of_loss_log(plasmid copy),rate_of_loss_log(T/P),Kan,averagePCN,Jumping
pBR322,1,0.03362162438230333,0.03233539719955144,0.003191937894528205,1,29.351686972525226,1
pBR322,2,0.03164422833671424,0.02864222571343654,0.004773678144069967,1,29.351686972525226,1
pBR322,3,0.033299040725401664,0.029461397874918794,0.005710999077704078,1,29.351686972525226,1
pBR322,4,0.03627057500240496,0.012040741415224189,0.026645673737715175,1,29.351686972525226,1
pBR322,5,0.03935842201969253,0.03504244334971717,0.006488712851506831,1,29.351686972525226,1
CloDF,1,0.06869775853860773,0.0622260242399155,0.008712162419195481,1,51.36592805739784,1
CloDF,2,0.06915471068130258,0.061373462681769096,0.009877632369924614,1,51.36592805739784,1
CloDF,3,0.07976766736643928,0.06650262519300015,0.01608771427176779,1,51.36592805739784,1
CloDF,4,0.08562921346320439,0.07733706905416814,0.011509423308612677,1,51.36592805739784,1
CloDF,5,0.07513501329903248,0.06856785926061373,0.009204808077745165,1,51.36592805739784,1
pUC,1,0.2856178546659088,0.1282697270445686,0.22298165994892039,1,357.94910379436783,1
pUC,2,0.28339859607452667,0.13291198156214618,0.2154590083947214,1,357.94910379436783,1
pUC,3,0.30152678739687505,0.1499048394601292,0.24936731783816946,1,357.94910379436783,1
pUC,4,0.29205428680768986,0.1378638945820083,0.27180321197017426,1,357.94910379436783,1
pUC,5,0.2859783134056232,0.13094464831447508,0.26163710328164475,1,357.94910379436783,1
pBR322,1,0.07913061456460907,0.08237785208763392,0.0010300517986714115,0,29.351686972525226,1
pBR322,2,0.08015236463827731,0.08143070374385551,0.003041618194554246,0,29.351686972525226,1
pBR322,3,0.08629162384404775,0.08512493283093148,0.006248278919735582,0,29.351686972525226,1
pBR322,4,0.07791486514492289,0.07609440709673483,0.0053206172695414765,0,29.351686972525226,1
pBR322,5,0.08603182371836741,0.07934838309881516,0.011952417779112427,0,29.351686972525226,1
CloDF,1,0.1403347382783106,0.14494141100184288,4.920920837248854e-05,0,51.36592805739784,1
CloDF,2,0.1422601570623212,0.14203800381184595,0.004898965112311767,0,51.36592805739784,1
CloDF,3,0.1465284378788655,0.14260786646751442,0.009330637819993362,0,51.36592805739784,1
CloDF,4,0.15607258644058167,0.15308190303568092,0.009031158464879757,0,51.36592805739784,1
CloDF,5,0.17173785721671456,0.17325497253733593,0.006571355644317489,0,51.36592805739784,1
pUC,1,0.28491096392367554,0.301772414399831,0.017490150157640386,0,357.94910379436783,1
pUC,2,0.30072790200028215,0.3239850705664996,0.02456954744060981,0,357.94910379436783,1
pUC,3,0.3016201898082598,0.32217289902521673,0.030566456433556783,0,357.94910379436783,1
pUC,4,0.2975891062817806,0.3165026795758494,0.02866678490189418,0,357.94910379436783,1
pUC,5,0.29360292997151044,0.3165784362590304,0.014492753404586134,0,357.94910379436783,1
