category,gene,weighted_copies,plasmids_with_category,category_label
card,qacEdelta1,2240,6953,Antibiotic resistance (CARD)
card,sul1,1733,6953,Antibiotic resistance (CARD)
card,TEM-1,1671,6953,Antibiotic resistance (CARD)
card,sul2,1540,6953,Antibiotic resistance (CARD)
card,mphA,1427,6953,Antibiotic resistance (CARD)
card,Mrx,1398,6953,Antibiotic resistance (CARD)
card,tet(A),1290,6953,Antibiotic resistance (CARD)
card,APH(3'')-Ib,1244,6953,Antibiotic resistance (CARD)
card,APH(6)-Id,1222,6953,Antibiotic resistance (CARD)
card,APH(3')-Ia,990,6953,Antibiotic resistance (CARD)
card,AAC(6')-Ib-cr5,860,6953,Antibiotic resistance (CARD)
card,dfrA14,768,6953,Antibiotic resistance (CARD)
card,dfrA12,677,6953,Antibiotic resistance (CARD)
card,OXA-1,639,6953,Antibiotic resistance (CARD)
card,QnrS1,615,6953,Antibiotic resistance (CARD)
card,floR,586,6953,Antibiotic resistance (CARD)
card,AAC(3)-IId,582,6953,Antibiotic resistance (CARD)
card,CTX-M-15,538,6953,Antibiotic resistance (CARD)
card,BRP(MBL),508,6953,Antibiotic resistance (CARD)
card,arr-3,470,6953,Antibiotic resistance (CARD)
card,dfrA17,458,6953,Antibiotic resistance (CARD)
card,aadA5,421,6953,Antibiotic resistance (CARD)
card,ErmB,412,6953,Antibiotic resistance (CARD)
card,Ecol_catII,381,6953,Antibiotic resistance (CARD)
card,rmtB,376,6953,Antibiotic resistance (CARD)
vfdb,sitB,514,2494,Virulence (VFDB)
vfdb,sitA,512,2494,Virulence (VFDB)
vfdb,sitC,509,2494,Virulence (VFDB)
vfdb,sitD,507,2494,Virulence (VFDB)
vfdb,iutA,480,2494,Virulence (VFDB)
vfdb,iucA,467,2494,Virulence (VFDB)
vfdb,iucC,464,2494,Virulence (VFDB)
vfdb,iucB,449,2494,Virulence (VFDB)
vfdb,hlyA,379,2494,Virulence (VFDB)
vfdb,hlyC,374,2494,Virulence (VFDB)
vfdb,hlyB,364,2494,Virulence (VFDB)
vfdb,hlyD,363,2494,Virulence (VFDB)
vfdb,senB,255,2494,Virulence (VFDB)
vfdb,iroB,245,2494,Virulence (VFDB)
vfdb,iroC,242,2494,Virulence (VFDB)
vfdb,iroD,242,2494,Virulence (VFDB)
vfdb,iroN,235,2494,Virulence (VFDB)
vfdb,rmpA,154,2494,Virulence (VFDB)
vfdb,iroE,143,2494,Virulence (VFDB)
vfdb,ibeC,139,2494,Virulence (VFDB)
vfdb,espP,119,2494,Virulence (VFDB)
vfdb,virK,116,2494,Virulence (VFDB)
vfdb,aatA,114,2494,Virulence (VFDB)
vfdb,mrkF,104,2494,Virulence (VFDB)
vfdb,mrkC,102,2494,Virulence (VFDB)
bacmet,qacEdelta1,2240,3394,Metal/biocide resistance (BacMet)
bacmet,merT,878,3394,Metal/biocide resistance (BacMet)
bacmet,merP,634,3394,Metal/biocide resistance (BacMet)
bacmet,merR,474,3394,Metal/biocide resistance (BacMet)
bacmet,merD,405,3394,Metal/biocide resistance (BacMet)
bacmet,merA,334,3394,Metal/biocide resistance (BacMet)
