md5,representative_acc,n_accessions,all_accessions
0001ed435625b3fd9bc6dec541616879,NZ_CP101794.1,1,NZ_CP101794.1
0007cf8faae98fd854ed899863633279,NZ_CP031211.1,1,NZ_CP031211.1
001638d80df1865cbbc125b1cd76f841,NZ_CP116437.1,1,NZ_CP116437.1
001bd448cc78aa1e7eba6a8315d83ed7,NZ_CP020812.1,1,NZ_CP020812.1
001cfd14e2fd3706e0a9c648d85be55a,NZ_CP026508.1,1,NZ_CP026508.1
001dacc00643c61784b3accdc2dddcc1,NZ_AP024519.1,1,NZ_AP024519.1
001eb2f5bfe504f79c7200034eadb2ab,NZ_CP116154.1,1,NZ_CP116154.1
00204618088f394cd4f34234d18b6481,NZ_CP090625.1,1,NZ_CP090625.1
0020e8fca7a4abeaa4ac3204b189d24f,NZ_CP033962.1,1,NZ_CP033962.1
00210132220e38afb2a983ee2af9ccec,NZ_CP032347.1,1,NZ_CP032347.1
00219cd7b24471c564f1cb89e5502f08,NZ_CP013415.1,1,NZ_CP013415.1
002291e1ef6217ac939a2a17535bb6d7,NZ_CP044487.1,1,NZ_CP044487.1
0023c44d1160f16abc247632bed2c215,NZ_CP033753.1,1,NZ_CP033753.1
002c91ee38466523920d270b767f61ef,NZ_CP139489.1,1,NZ_CP139489.1
002f999e8e20debe466eba2cffb9548f,NC_021722.1,1,NC_021722.1
00317af1cb0c3cc847f7a87504ad899e,NZ_CP137386.1,1,NZ_CP137386.1
003547f80538178e180f888d7c9ed5ea,NZ_CP092988.1,1,NZ_CP092988.1
003d2af8f0d07a2732ce08f813089ea1,NZ_CP042240.1,1,NZ_CP042240.1
0041d2d7e6d225feabb857ea3c959222,NZ_CP094788.1,1,NZ_CP094788.1
004201e3a98b9bb0b04edd7cb4056455,NZ_CP051739.1,1,NZ_CP051739.1
00431d0b11313370b597e56ac5ca68f3,NZ_CP099755.1,1,NZ_CP099755.1
0044dfb99feb0cf356bc3c128486753b,NZ_CP033798.1,1,NZ_CP033798.1
0046013f9d9d0f9a3a96f0f0bdfa5b12,NZ_CP016701.1,1,NZ_CP016701.1
00481c0d589459e1b8bd86a5a4fdd168,NZ_CP041195.1,1,NZ_CP041195.1
004ae3491f2004ff6cbb959e1bf48f10,NZ_CP132681.1,1,NZ_CP132681.1
004b2d8d64a04a56ef42f16fa93aa762,NZ_CP092543.1,2,NZ_CP092543.1;NZ_CP092582.1
004d1f0e675c839009b6cc7df7831052,NZ_CP062893.1,1,NZ_CP062893.1
004e996f9ce4aa6b4d0690fabb3ec423,NZ_CP065077.1,1,NZ_CP065077.1
004f65e3df091515461371c576785420,NZ_CP024312.1,1,NZ_CP024312.1
0051d5f11b5446bdf1f7ddfa7afcb5e4,NZ_CP006642.1,1,NZ_CP006642.1
0051ebb296d35fb0ef28b95656138962,NZ_CP019069.1,1,NZ_CP019069.1
0059173b22db6c8d178808a0de1628e5,NZ_CP055228.1,1,NZ_CP055228.1
005e97c3330516051707c20b4fef8d8a,NZ_CP042496.1,1,NZ_CP042496.1
00615858bc23b160db4a9a3042e4244d,NZ_CP102303.1,1,NZ_CP102303.1
00661931b6c065ac7cebb4b67b10465b,NZ_CP102535.1,1,NZ_CP102535.1
00670c6ce1d0b8e74472b6ccd232abca,NC_005004.1,1,NC_005004.1
