accession,md5,n_families_ge2,has_identical_pair,n_jump_families,max_distinct_contexts,jump_families
NZ_CP101794.1,0001ed435625b3fd9bc6dec541616879,6,0,0,0,
NZ_CP031211.1,0007cf8faae98fd854ed899863633279,1,0,0,0,
NZ_CP116437.1,001638d80df1865cbbc125b1cd76f841,1,0,0,0,
NZ_CP020812.1,001bd448cc78aa1e7eba6a8315d83ed7,4,0,0,0,
NZ_CP026508.1,001cfd14e2fd3706e0a9c648d85be55a,2,1,1,2,IS30
NZ_AP024519.1,001dacc00643c61784b3accdc2dddcc1,2,1,2,3,IS6;IS91
NZ_CP116154.1,001eb2f5bfe504f79c7200034eadb2ab,3,1,2,3,IS1;IS6
NZ_CP090625.1,00204618088f394cd4f34234d18b6481,1,0,0,0,
NZ_CP033962.1,0020e8fca7a4abeaa4ac3204b189d24f,4,1,1,10,IS6
NZ_CP032347.1,00210132220e38afb2a983ee2af9ccec,2,1,1,2,IS630
NZ_CP013415.1,00219cd7b24471c564f1cb89e5502f08,5,1,1,2,IS3
NZ_CP044487.1,002291e1ef6217ac939a2a17535bb6d7,1,0,0,0,
NZ_CP033753.1,0023c44d1160f16abc247632bed2c215,1,0,0,0,
NZ_CP139489.1,002c91ee38466523920d270b767f61ef,4,0,0,0,
NZ_CP137386.1,00317af1cb0c3cc847f7a87504ad899e,6,1,2,3,IS110;IS6
NZ_CP092988.1,003547f80538178e180f888d7c9ed5ea,5,0,0,0,
NZ_CP094788.1,0041d2d7e6d225feabb857ea3c959222,1,0,0,0,
NZ_CP051739.1,004201e3a98b9bb0b04edd7cb4056455,2,0,0,0,
NZ_CP099755.1,00431d0b11313370b597e56ac5ca68f3,3,0,0,0,
NZ_CP033798.1,0044dfb99feb0cf356bc3c128486753b,3,1,1,2,ISNCY
NZ_CP016701.1,0046013f9d9d0f9a3a96f0f0bdfa5b12,4,0,0,0,
NZ_CP132681.1,004ae3491f2004ff6cbb959e1bf48f10,6,1,1,2,IS5
NZ_CP062893.1,004d1f0e675c839009b6cc7df7831052,3,1,1,2,IS1
NZ_CP065077.1,004e996f9ce4aa6b4d0690fabb3ec423,4,1,1,4,IS6
NZ_CP024312.1,004f65e3df091515461371c576785420,1,0,0,0,
NZ_CP006642.1,0051d5f11b5446bdf1f7ddfa7afcb5e4,4,1,1,4,IS6
NZ_CP019069.1,0051ebb296d35fb0ef28b95656138962,1,0,0,0,
NZ_CP042496.1,005e97c3330516051707c20b4fef8d8a,3,1,0,1,
NZ_CP122640.1,00689d3a741bb0e358b7aeeea5c65d1f,2,0,0,0,
NZ_CP081715.1,00697813a276b24f7eb883b298f864eb,5,1,1,5,IS6
NZ_CP026075.1,006ad021728e48000718cb1bb1b2f3fd,1,0,0,0,
NZ_CP080596.1,006b0dfcbf0fbbac3e3dc0700d1ca723,4,0,0,0,
NZ_OW848790.1,006be7f382f44050f8b5ec1db55eb738,1,0,0,0,
NZ_CP128951.1,006c4aecb0473d2c48241c9efc8b2f06,6,1,1,2,IS3
NZ_LR890193.1,006e30ff7f7b9c490c63585b53714887,1,0,0,0,
NZ_CP129273.1,006e85f97015bbfbeae156dfa31b6e4f,5,1,1,2,IS6
NC_020821.1,006fa2f2b80e2e7bba5c7a4fa9e19408,1,0,0,0,
NZ_AP019539.1,0070ac1594ab0ecb9e246a86d7eeec5a,1,1,1,4,IS6
NZ_CP103759.1,00725574f06673b6a38bfe86dddef039,4,1,1,2,IS6
NZ_CP027463.1,00745945706fcd7284fa6037cdba0e69,1,0,0,0,
NZ_CP010146.1,00758c95e2d12136605d5161d7282e99,4,1,2,3,IS1;IS6
NZ_CP027144.1,007c2b651a3b4c0bf9b0912be72731b7,5,1,1,7,IS6
NZ_CP060862.1,0085c7940a341d3be049ba340e23f2af,2,1,1,3,IS6
NZ_CP030863.1,008951dfdf7ecf9f38d2e984c7f32721,1,0,0,0,
NZ_CP082343.1,008b1bb6ec2f6271ba31a1a71aadf991,5,1,1,2,IS66
NZ_CP102073.1,008b6570afff456d24782cc663e50afc,1,1,1,2,IS6
NZ_CP140932.1,00937949f1ceb8d5b05f107e5673281c,3,0,0,0,
NZ_CP100101.1,0094893120f21366f302be6e45f7108a,2,1,1,4,IS6
NZ_CP085907.1,0094e3b68ff5dfa89814241e9c9cb75e,8,1,3,3,IS256;IS3;IS6
NZ_CP077102.1,009c5be2932d08be05078fa90b9b8ede,2,0,0,0,
NZ_AP022271.1,009f305e145bb6f02bde5fca998a61ce,2,1,1,3,IS6
NZ_CP060594.1,009f382dc77ee9520fcce5e16abbec3f,2,0,0,0,
NZ_OY725768.1,00a5029ebf7cf677deda9f897dbfb598,1,0,0,0,
NZ_CP091900.1,00a69b91cb9b2e908adab0b6ffd51075,1,1,1,2,IS6
NZ_CP012123.1,00a9e7381a48422c10fd8d55581f2398,4,0,0,0,
NZ_CP086876.1,00b0e8e3a16bfebc8f1e4adfbf8f6299,3,0,0,0,
NZ_CP134808.1,00b70c82e949725839696cfcb55b03dd,6,1,1,2,IS5
NZ_CP115475.1,00b8c22ee541cf8ae40d17385b7dd4ba,1,1,1,2,IS6
NZ_CP053646.1,00bd57c3716d631f47dc5f850cb12f55,1,1,1,2,IS6
NZ_CP087646.1,00c2448f446aa228a667c2f78c934964,6,1,2,6,IS5;IS6
NZ_CP090644.1,00c84d0c711360cd407ac74652d22ed6,2,0,0,0,
NZ_CP064400.1,00d2237ccedd8d548b3eaac2c16e7917,1,1,1,3,IS6
NZ_CP013519.1,00d4c95e0413240fc8f4748c1ff619f0,5,0,0,0,
NZ_CP029324.1,00d612dad18664af4224ad79872d7348,3,0,0,0,
NZ_CP012289.1,00d88c0c59fd265225e6c2a8ed0d57ce,1,0,0,0,
NZ_CP067373.1,00df1088def04c9bae7d82c652ad60ea,7,1,1,4,IS6
NZ_CP021826.1,00e1f5e49526ecea37fd0f8c7801836f,1,0,0,0,
NZ_CP126027.1,00e2e946bd569dcb7168d0079a267deb,8,1,1,2,IS3
NZ_CP023378.1,00e5735c178daafa438efe7bd8f63a22,4,1,1,4,IS6
NZ_CP033245.1,00ee5effa12b76ef19c5c8161c89aef7,1,1,1,2,IS30
