AnnotationAccession,SeqID,SeqType,PIRAReadCount,replicon_length,PIRASequencingCoverage,PIRALongestRepliconCoverage,PIRACopyNumber,InitialReadCount,AdditionalReadCount,InitialCopyNumberEstimate,RepliconDNAContent,Organism,Strain,TaxonomicGroup,TaxonomicSubgroup,host,isolation_source,Annotation,Genus,max_replicon_length,normalized_replicon_length
GCF_001018655.2_ASM101865v2,NZ_CP026962.1,chromosome,19550941,2697644,7.247413298,7.247413298,1,19550941,0,1,2697644,Staphylococcus aureus,FDAARGOS_6,Terrabacteria group,Bacillota,Homo sapiens,human,Humans,Staphylococcus,2697644,1
GCF_001018655.2_ASM101865v2,NZ_CP026963.1,plasmid,1176476,61643,19.08531382,7.247413298,2.633396639,1176476,0,2.633396639,162330.469,Staphylococcus aureus,FDAARGOS_6,Terrabacteria group,Bacillota,Homo sapiens,human,Humans,Staphylococcus,2697644,0.02285068
GCF_003325115.1_ASM332511v1,NZ_CP030194.1,chromosome,1879566,4651373,0.404088427,0.404088427,1,1879566,0,1,4651373,Salmonella enterica,SA20080453,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Salmonella,4651373,1
GCF_003325115.1_ASM332511v1,NZ_CP030195.1,plasmid,58314,38923,1.498188732,0.404088427,3.707576438,58314,0,3.707576438,144309.9977,Salmonella enterica,SA20080453,Pseudomonadota,Gammaproteobacteria,NA,NA,Unannotated,Salmonella,4651373,0.008368067
GCF_023299525.1_ASM2329952v1,NZ_CP097002.1,chromosome,1338962,2663981,0.502616948,0.502616948,1,1338962,0,1,2663981,Enterococcus faecalis,LS06-1,Terrabacteria group,Bacillota,NA,pet food (BARF),Food,Enterococcus,2663981,1
GCF_023299525.1_ASM2329952v1,NZ_CP097003.1,plasmid,87763,72603,1.208806799,0.502616948,2.405025941,87763,0,2.405025941,174612.0984,Enterococcus faecalis,LS06-1,Terrabacteria group,Bacillota,NA,pet food (BARF),Food,Enterococcus,2663981,0.027253573
GCF_016889925.1_ASM1688992v1,NZ_CP069563.1,chromosome,17716543,5150703,3.43963591,3.43963591,1,17716543,0,1,5150703,Bacteroides fragilis,FDAARGOS_1225,FCB group,Bacteroidota/Chlorobiota group,NA,NA,Unannotated,Bacteroides,5150703,1
GCF_016889925.1_ASM1688992v1,NZ_CP069564.1,plasmid,419799,98235,4.273415789,3.43963591,1.242403528,419799,0,1.242403528,122047.5105,Bacteroides fragilis,FDAARGOS_1225,FCB group,Bacteroidota/Chlorobiota group,NA,NA,Unannotated,Bacteroides,5150703,0.019072154
GCF_022494645.1_ASM2249464v1,NZ_CP091662.1,chromosome,11540183,4672002,2.470072359,2.470072359,1,11540183,0,1,4672002,Escherichia coli,KFu023,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,4672002,1
GCF_022494645.1_ASM2249464v1,NZ_CP091663.1,plasmid,96202,2101,45.78867206,2.470072359,18.53738086,96202,0,18.53738086,38947.03718,Escherichia coli,KFu023,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,4672002,0.0004497
