accession,rohan_transposase_count,isescan_is_copies,isescan_complete,isescan_partial
NZ_CP107404.1,16,16,14,2
NZ_CP053905.1,9,1,0,1
NZ_CP053906.1,11,5,2,3
NZ_CP053907.1,6,4,0,4
NZ_CP028315.1,5,6,2,4
NZ_CP028316.1,12,13,7,6
NZ_CP118692.1,25,34,21,13
NZ_CP118693.1,10,9,7,2
NZ_CP118694.1,7,9,6,3
NZ_CP020343.1,24,48,21,27
NZ_CP020344.1,6,12,7,5
NZ_CP025852.1,6,3,2,1
NZ_CP025854.1,23,28,16,12
NZ_CP025855.1,24,21,11,10
NZ_LR882979.1,21,21,7,14
NZ_LR882980.1,4,4,3,1
NZ_LR882981.1,9,12,4,8
NZ_CP022612.1,29,34,23,11
NZ_CP022613.1,7,9,5,4
NZ_CP054237.1,13,16,12,4
NZ_LN997843.1,1,10,4,6
NZ_CP029453.1,72,82,46,36
NZ_CP029452.1,36,44,18,26
NZ_CP084790.1,17,21,16,5
NZ_CP084791.1,12,14,10,4
NZ_CP084792.1,3,3,2,1
NZ_CP084794.1,1,0,0,0
NZ_CP084795.1,1,1,1,0
NZ_CP084796.1,2,1,0,1
NZ_CP025497.1,2,3,3,0
NZ_AP021973.1,19,14,12,2
NZ_AP021974.1,24,22,18,4
NZ_AP021976.1,1,0,0,0
NZ_AP021977.1,1,1,1,0
NZ_CP116242.1,12,8,4,4
NZ_CP116243.1,14,20,11,9
NZ_CP114355.1,28,33,25,8
NZ_CP114356.1,7,6,1,5
NZ_CP114357.1,2,4,3,1
NZ_CP114358.1,1,0,0,0
NZ_CP027220.1,19,22,4,18
NZ_CP034296.1,3,9,4,5
NZ_CP034297.1,6,5,5,0
NZ_CP054005.1,3,2,2,0
NZ_CP054007.1,1,1,1,0
NZ_CP050477.1,2,3,1,2
NZ_CP090793.1,6,3,3,0
NZ_CP090795.1,1,0,0,0
NZ_CP056351.1,22,20,15,5
NZ_CP081307.1,14,16,14,2
NZ_CP081308.1,1,1,1,0
NZ_CP081309.1,4,5,3,2
NZ_CP028612.1,2,6,3,3
NZ_CP028611.1,1,1,0,1
NZ_CP132727.1,19,26,17,9
NZ_CP142856.1,3,1,1,0
NZ_CP142857.1,2,4,3,1
NZ_CP128105.1,11,10,6,4
NZ_CP059807.1,13,11,9,2
NZ_CP059808.1,11,10,8,2
NZ_CP059809.1,3,3,3,0
NC_018680.1,1,2,0,2
NZ_CP055182.1,17,20,13,7
NZ_CP055183.1,3,2,1,1
