AnnotationAccession,SeqID,SeqType,SeqLength,CDS_count,CDS_length,transposase_count, transposase_length
GCF_028221105.1_ASM2822110v1,NZ_CP107403.1,chromosome,5465108,5184,4781496,58,56232
GCF_028221105.1_ASM2822110v1,NZ_CP107404.1,plasmid,154719,179,114612,16,14898
GCF_028221105.1_ASM2822110v1,NZ_CP107405.1,plasmid,54515,53,49137,0,0
GCF_028221105.1_ASM2822110v1,NZ_CP107406.1,plasmid,10060,13,7509,0,0
GCF_028221105.1_ASM2822110v1,NZ_CP107407.1,plasmid,5596,10,3120,0,0
GCF_019880485.1_ASM1988048v1,NZ_CP082262.1,chromosome,4204088,4000,3628809,10,9474
GCF_019880485.1_ASM1988048v1,NZ_CP082263.1,plasmid,6990,10,4746,0,0
GCF_019880485.1_ASM1988048v1,NZ_CP082264.1,plasmid,6587,10,5025,0,0
GCF_019880485.1_ASM1988048v1,NZ_CP082265.1,plasmid,6117,6,4155,0,0
GCF_013256425.1_ASM1325642v1,NZ_CP053904.1,chromosome,4413191,4110,3573264,45,31320
GCF_013256425.1_ASM1325642v1,NZ_CP053905.1,plasmid,101478,134,77541,9,6084
GCF_013256425.1_ASM1325642v1,NZ_CP053906.1,plasmid,93613,101,73845,11,10902
GCF_013256425.1_ASM1325642v1,NZ_CP053907.1,plasmid,89411,93,50307,6,3759
GCF_000835345.1_ASM83534v1,NZ_CP010072.1,chromosome,1742364,1760,1599597,5,6507
GCF_000835345.1_ASM83534v1,NZ_CP010073.1,plasmid,48872,53,43473,0,0
GCF_000835345.1_ASM83534v1,NZ_CP010074.1,plasmid,36604,47,30819,0,0
GCF_003986655.1_ASM398665v1,NZ_CP028314.1,chromosome,4808419,4433,4168407,42,31335
GCF_003986655.1_ASM398665v1,NZ_CP028315.1,plasmid,98989,107,80313,5,5148
GCF_003986655.1_ASM398665v1,NZ_CP028316.1,plasmid,187594,181,147570,12,9429
GCF_003986655.1_ASM398665v1,NZ_CP028317.1,plasmid,2096,1,990,0,0
GCF_030388425.1_ASM3038842v1,NZ_CP118691.1,chromosome,5469488,5214,4793667,47,46737
GCF_030388425.1_ASM3038842v1,NZ_CP118692.1,plasmid,268400,261,201558,25,27174
GCF_030388425.1_ASM3038842v1,NZ_CP118693.1,plasmid,134960,162,99066,10,9825
GCF_030388425.1_ASM3038842v1,NZ_CP118694.1,plasmid,87095,89,67134,7,6711
GCF_030388425.1_ASM3038842v1,NZ_CP118695.1,plasmid,41452,59,38034,0,0
GCF_002240115.1_ASM224011v1,NZ_CP020342.1,chromosome,4681581,3972,3585216,270,258024
GCF_002240115.1_ASM224011v1,NZ_CP020343.1,plasmid,144194,92,72012,24,20457
GCF_002240115.1_ASM224011v1,NZ_CP020344.1,plasmid,78308,69,50652,6,5217
GCF_003956265.1_ASM395626v1,NZ_CP025851.1,chromosome,4885058,4412,4069740,203,174042
GCF_003956265.1_ASM395626v1,NZ_CP025852.1,plasmid,29775,27,22392,6,5571
GCF_003956265.1_ASM395626v1,NZ_CP025853.1,plasmid,36521,46,28452,0,0
GCF_003956265.1_ASM395626v1,NZ_CP025854.1,plasmid,80573,58,46743,23,19326
GCF_003956265.1_ASM395626v1,NZ_CP025855.1,plasmid,84977,82,57903,24,22806
GCF_017183955.1_ASM1718395v1,NZ_CP065269.1,chromosome,5166737,5000,4721544,30,35964
GCF_017183955.1_ASM1718395v1,NZ_CP065270.1,plasmid,25000,28,19854,0,0
GCF_017183955.1_ASM1718395v1,NZ_CP065271.1,plasmid,18611,17,14199,0,0
GCF_904830975.1_L3_CS7_E2980,NZ_LR882978.1,chromosome,4992286,4609,4273731,55,49995
GCF_904830975.1_L3_CS7_E2980,NZ_LR882979.1,plasmid,112055,101,74958,21,19248
GCF_904830975.1_L3_CS7_E2980,NZ_LR882980.1,plasmid,72255,90,61086,4,3276
GCF_904830975.1_L3_CS7_E2980,NZ_LR882981.1,plasmid,48305,37,33816,9,7836
