md5,category,gene,pident,qcov,n_copies,rep_accession,rep_locus,rep_product,is_family,left_flank,right_flank,subject_title
00a058584b55a9fbbd7c5492e95ece14,card,tet(M),94.4,100.0,1,NZ_CP098744.1,NDO76_RS13325,tetracycline resistance ribosomal protection protein Tet(M),IS6,c,c,gb|BAB82500.1|ARO:3000186|tet(M) [Erysipelothrix rhusiopathiae] 
0113026fbb1eb803c5e0676a2068c5d5,card,CARB-16,100.0,100.0,3,NZ_CP096121.1,MZO21_RS12905,RTG family carbenicillin-hydrolyzing class A beta-lactamase ,IS3,c,c,gb|CCW43444.1|ARO:3002255|CARB-16 [Psychrobacter maritimus] 
011cc34109e1f63fbb80c09e550f4cb5,card,AAC(3)-IVa,99.6,100.0,2,NZ_CP027162.1,CSB98_RS28470,aminoglycoside N-acetyltransferase AAC(3)-IVa,IS6,c,c,gb|ABB43029.1|ARO:3002539|AAC(3)-IVa [Escherichia coli] 
011e7d9a7f9d5f838a2a20fcd38a5acf,card,tet(63),100.0,100.0,2,NZ_CP053076.1,HK402_RS14600,tetracycline efflux MFS transporter Tet(63),IS6,c,c,gb|QJR33972.1|ARO:3007493|tet(63) [Staphylococcus aureus] 
01255aef54f7caa14488791f2115785f,card,sul1,99.6,100.0,1,NZ_CP128614.1,QU520_RS23315,sulfonamide-resistant dihydropteroate synthase Sul1,IS6,c,c,gb|AEJ33969.1|ARO:3000410|sul1 [Vibrio fluvialis] 
01313db7916cf42bd70173acb6811c0f,card,dfrC,98.1,100.0,13,NZ_CP097520.1,M8Z95_RS11700,trimethoprim-resistant dihydrofolate reductase DfrS1,IS6,c,c,gb|AAO04716.1|ARO:3002865|dfrC [Staphylococcus epidermidis ATCC 12228] 
015933c4caa15bbc8256cecfdcf58260,card,QnrB2,100.0,100.0,30,NZ_CP138724.1,R8542_RS26945,quinolone resistance pentapeptide repeat protein QnrB52,IS6,c,c,gb|ABO93588.1|ARO:3002715|QnrB2 [Proteus mirabilis] 
016034724bcca83b99191e7df8c605a1,card,tet(K),100.0,100.0,30,NZ_CP048645.1,GAU34_RS14465,tetracycline efflux MFS transporter Tet(K),IS6,c,c,gb|AAB28795.1|ARO:3000178|tet(K) [Staphylococcus aureus] 
020c5bbe3c8be5983315e2b40de3aaf2,card,Mrx,99.8,100.0,1,NZ_CP019890.1,B1023_RS24275,phosphorylated macrolide efflux MFS transporter Mrx(A),IS6,c,c,gb|AAS13767.1|ARO:3003839|Mrx [Aeromonas hydrophila] 
02553c3b28c433b3bf71675570ee3e68,card,aadA16,98.9,100.0,206,NZ_CP129870.1,QYQ70_RS27675,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase Aad,IS6,c,c,gb|ACF17980.1|ARO:3002616|aadA16 [Escherichia coli] 
02745304384240135dbb3ef44e6cbb80,card,tet(M),99.4,100.0,23,NZ_CP041443.1,FNP80_RS24785,tetracycline resistance ribosomal protection protein Tet(M),IS6,c,c,gb|BAB82500.1|ARO:3000186|tet(M) [Erysipelothrix rhusiopathiae] 
02e3d0f3bf0acc96bcc49ce55b91f262,card,APH(3')-Ia,97.8,100.0,1,NZ_CP123245.1,N4691_RS23320,aminoglycoside O-phosphotransferase APH(3')-Ia,IS6,c,c,gb|CAE51638.1|ARO:3002641|APH(3')-Ia [Serratia marcescens] 
031a248a523a5391da18b9af18921572,card,mphF,100.0,100.0,1,NZ_CP140112.1,URF95_RS32845,Mph(F) family macrolide 2'-phosphotransferase,IS6,c,c,gb|CAJ98570.1|ARO:3003071|mphF [uncultured bacterium] 
0357e156ff2a13d56815747d014ce248,card,cmlA5,100.0,100.0,128,NZ_CP061834.1,IFX77_RS27265,chloramphenicol efflux MFS transporter CmlA5,IS6,c,c,gb|AAM77075.1|ARO:3002695|cmlA5 [uncultured bacterium] 
03646e21e9544ef9803c67a53366a4c3,card,sul2,99.3,100.0,1,NZ_CP074048.1,KFU78_RS23165,sulfonamide-resistant dihydropteroate synthase Sul2,IS6,c,c,gb|AAL59753.1|ARO:3000412|sul2 [Vibrio cholerae] 
03a9f284ba33f900644b25c905874a17,card,tet(Y),100.0,100.0,7,NZ_CP048015.1,GVU25_RS12965,tetracycline efflux MFS transporter Tet(Y),IS3,p,p,gb|AAC72341.1|ARO:3000182|tet(Y) [IncQ plasmid pIE1120] 
03cec1b3cbed49053d9ec9dafecd2d16,card,aadA17,93.9,100.0,1,NZ_CP093250.1,MNY64_RS16385,AadA family aminoglycoside 3''-O-nucleotidyltransferase,IS6,c,c,gb|ACK43806.1|ARO:3002617|aadA17 [Aeromonas media] 
03fdd598aa22e14c20213a97271a8683,card,OXA-9,99.6,100.0,1,NZ_CP041052.1,EIN43_RS00265,OXA-9 family oxacillin-hydrolyzing class D beta-lactamase,IS6,c,c,gb|AAA98406.1|ARO:3001404|OXA-9 [Klebsiella pneumoniae] 
0481779767c28c53d8e2fd2b69add478,card,ErmX,90.5,100.0,2,NZ_CP069569.1,I6J72_RS12980,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(X),IS3,c,p,gb|AAA98484.1|ARO:3000596|ErmX [Plasmid pNG2] 
04bbda7a366b39690aa4e892f2217c02,card,tet(A),99.7,100.0,173,NZ_CP080596.1,K2Y34_RS21585,tetracycline efflux MFS transporter Tet(A),IS6,c,c,gb|AAN06707.1|ARO:3000165|tet(A) [Shigella sonnei] 
04d7f08a707fc79b1d5a79177ebb467c,card,aadT,100.0,100.0,17,NZ_CP096121.1,MZO21_RS13230,multidrug efflux MFS transporter AadT,IS6,p,c,gb|AMD83542.1|ARO:3007669|aadT [Acinetobacter baumannii] 
04dfaed575162deed54b1b8ddc37039e,card,qacA,100.0,94.3,1,NZ_CP025033.1,CWR44_RS13715,hypothetical protein,IS1182,c,c,gb|BAJ09383.1|ARO:3003046|qacA [Staphylococcus aureus] 
05389f29e3a25048256efde8c2757bd8,card,qacEdelta1,100.0,100.0,2000,NZ_AP024519.1,LDN98_RS24435,quaternary ammonium compound efflux SMR transporter QacE del,IS6,c,c,gb|AAC44316.1|ARO:3005010|qacEdelta1 [Pseudomonas aeruginosa] 
058e74e7274c06b1e9043e6c08afa18f,card,evgS,98.0,100.0,1,NZ_CP117004.1,NL411_RS01135,acid-sensing system histidine kinase EvgS,IS1,c,c,gb|AAC75429.1|ARO:3000833|evgS [Escherichia coli str. K-12 substr. MG1655] 
059089ff4f1ad1c7ec6efa9c068f19e4,card,cmlA8,100.0,100.0,1,NZ_CP101701.1,NOV18_RS27685,chloramphenicol efflux MFS transporter CmlA8,new,c,p,gb|ABW91179.1|ARO:3004665|cmlA8 [Pseudomonas aeruginosa] 
05b73973dca484cfbed9f6b4da094afe,card,AAC(6')-Ib3,99.5,100.0,1,NZ_CP137509.1,R5016_RS31720,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,IS6,c,c,gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3 [Acinetobacter baumannii] 
05fb01298fbf4e07312221bc395995f7,card,tet(L),98.5,100.0,4,NZ_CP137475.1,R5U37_RS00255,tetracycline efflux MFS transporter Tet(L),IS6,c,p,gb|AAA22851.1|ARO:3000179|tet(L) [Geobacillus stearothermophilus] 
0622178da2b73a69d82d0d3099b81104,card,qacL,98.2,100.0,1,NZ_CP128876.1,QVN10_RS23850,quaternary ammonium compound efflux SMR transporter QacF,IS6,c,c,gb|AAZ42322.1|ARO:3005098|qacL [Vibrio cholerae] 
0677543426f133e6b838b8645e904bf7,card,OXA-10,100.0,100.0,126,NZ_CP096259.1,M0M83_RS21005,oxacillin-hydrolyzing class D beta-lactamase OXA-10,IS3,p,c,gb|AAG45720.1|ARO:3001405|OXA-10 [Escherichia coli] 
