accession,md5,locus_tag,product,regex_match,category,rohan_transposase_count
NZ_CP042240.1,003d2af8f0d07a2732ce08f813089ea1,FQU85_RS00060,transposase,transposase,other_transposase_or_IS,1
NZ_CP042240.1,003d2af8f0d07a2732ce08f813089ea1,FQU85_RS00540,IS5/IS1182 family transposase,IS,other_transposase_or_IS,1
NZ_CP042240.1,003d2af8f0d07a2732ce08f813089ea1,FQU85_RS13555,RNA-guided endonuclease TnpB family protein,Tnp,other_transposase_or_IS,1
NZ_CP042240.1,003d2af8f0d07a2732ce08f813089ea1,FQU85_RS00870,IS5 family transposase,IS,other_transposase_or_IS,1
NZ_CP110070.1,010e3aa6261eb646ea9fb98af053edb6,OLL93_RS14275,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_AP023207.1,01162da81ff976ab3283cf78cd7f59fd,HUV20_RS21670,transposase,transposase,other_transposase_or_IS,1
NC_010478.1,01257b2eceddfd6252669ac5b7c462cb,SYNPCC7002_RS14330,IS4-like element ISSysp2 family transposase,IS,other_transposase_or_IS,2
NC_010478.1,01257b2eceddfd6252669ac5b7c462cb,SYNPCC7002_RS16505,transposase,transposase,other_transposase_or_IS,2
NZ_CP083480.1,0125d8c7510e7058cbe681853b1c0471,K9U13_RS24610,IS1 family transposase,IS,other_transposase_or_IS,1
NZ_CP123576.1,022e70fc29b8b836cb9de149a85bb8b6,QE193_RS25655,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,1
NZ_CP101659.1,0246443cdce79af237d7cb292c8a9d43,NHG98_RS06335,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,2
NZ_CP101659.1,0246443cdce79af237d7cb292c8a9d43,NHG98_RS06350,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,2
NZ_CP101659.1,0246443cdce79af237d7cb292c8a9d43,NHG98_RS06380,IS982 family transposase,IS,other_transposase_or_IS,2
NZ_CP124464.1,024a7bf58e22b7e27a0c28d3d1202e94,QJP79_RS25880,IS1 family transposase,IS,other_transposase_or_IS,2
NZ_CP124464.1,024a7bf58e22b7e27a0c28d3d1202e94,QJP79_RS25885,Tn3-like element TnEc1 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP021287.1,02641618620a488049a9273ae62c0896,CA919_RS16280,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP066068.1,027aeef988135e292a8b4b329d92834f,I6I09_RS10780,transposase,transposase,other_transposase_or_IS,1
NZ_CP030873.1,02a3def1910a7e4d5e366084a2084712,DS739_RS14075,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP084838.1,02b4d73b9aaa6651a415283abec75fcf,LGM16_RS29030,Tn3-like element Tn5403 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP015161.1,02fb0cd04c5bd9e9ba084473cdc9e93a,WM90_RS26370,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,1
NZ_OW970497.1,031296657cb87d36e7827fd0741ee886,LQV37_RS27530,Tn3-like element Tn5403 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP117172.1,03183decc7b9e30aa4ee2cbe0ba56c64,JET59_RS27960,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP089318.1,0344aab0d85da013a79bb0b57a5f4250,LUA10_RS20215,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP089318.1,0344aab0d85da013a79bb0b57a5f4250,LUA10_RS20060,IS6-like element IS26 family transposase,IS,other_transposase_or_IS,1
NZ_CP114037.1,0357d9cb231108af92adf366f36e8c7e,N6H00_RS40070,TnsA-like heteromeric transposase endonuclease subunit,transposase,other_transposase_or_IS,1
NZ_CP114037.1,0357d9cb231108af92adf366f36e8c7e,N6H00_RS40075,transposase,transposase,other_transposase_or_IS,1
NZ_CP051646.1,0377603a750d26ccdac57fd92d83ecca,HHJ99_RS13380,membrane protein insertase YidC,ins,unclear_likely_false_positive,1
NZ_CP110405.1,04136d974198290327387fc1b2fe4a4c,OKF41_RS24430,transposase,transposase,other_transposase_or_IS,1
NZ_CP110405.1,04136d974198290327387fc1b2fe4a4c,OKF41_RS24445,IS91 family transposase,IS,other_transposase_or_IS,1
NZ_CP036049.1,04405db03da90655f4d3d920e95e1c94,EXW28_RS27435,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,1
NZ_CP134722.1,046ca19687edd696f89700d6c7058052,RM157_RS22965,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,1
NZ_CP134722.1,046ca19687edd696f89700d6c7058052,RM157_RS23585,IS110 family transposase,IS,other_transposase_or_IS,1
NZ_CP015744.1,047d6c3f9943736560cef34a75ecbdb4,shn_RS32310,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_AP025197.1,04abf27c2f96fc4111c0713bda0473f4,L6429_RS10865,IS607 family transposase,IS,other_transposase_or_IS,2
NZ_AP025197.1,04abf27c2f96fc4111c0713bda0473f4,L6429_RS10870,RNA-guided endonuclease InsQ/TnpB family protein,Ins,other_transposase_or_IS,2
NZ_AP024765.1,04b5e174b560f49d1d2a28b0255b62ef,K6J83_RS27080,Tn3-like element Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_AP024765.1,04b5e174b560f49d1d2a28b0255b62ef,K6J83_RS27100,IS6-like element IS26 family transposase,IS,other_transposase_or_IS,2
NZ_CP044991.1,04c885f6116eb8be75af136d82a40211,DAAJ005_RS18225,Tn3 family transposase,Tn3,tn3_family_unit_transposon,2
NZ_CP044991.1,04c885f6116eb8be75af136d82a40211,DAAJ005_RS18550,IS1182 family transposase,IS,other_transposase_or_IS,2
NZ_CP091923.1,04d42151f2490fb996c13872e9c9fed7,L6494_RS30690,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP066823.1,05341453cdc0d788ae0e82e5f007d1ce,JH395_RS16245,IS5-like element ISLpl3 family transposase,IS,other_transposase_or_IS,1
NZ_CP066823.1,05341453cdc0d788ae0e82e5f007d1ce,JH395_RS16250,IS30 family transposase,IS,other_transposase_or_IS,1
NZ_CP075920.1,05463be90372351ee5d9be4a65c8d99b,KLF44_RS16025,IS630 transposase-related protein,IS,other_transposase_or_IS,1
NZ_CP024651.1,054e142ec764c885bbd4c354f0ec1e50,CDW44_RS25845,Tn3-like element Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP104454.1,059f3b8593bc9a3378af72c992622422,N2J37_RS30440,Tn3-like element Tn5403 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP144220.1,05da16b08257aeb85117acf22688893e,V2B37_RS00035,IS110 family transposase,IS,other_transposase_or_IS,1
NZ_CP144220.1,05da16b08257aeb85117acf22688893e,V2B37_RS00040,transposase,transposase,other_transposase_or_IS,1
NZ_CP092354.1,060d48dc36785c20071ac9e2f89af477,MF410_RS34515,IS110 family RNA-guided transposase,IS,other_transposase_or_IS,1
NZ_CP011616.1,0630ce48bb1418760a978eaf4f4e4d03,AB181_RS01485,Tn3-like element ISPa38 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP086853.1,0744ca3cc53c8c4316e9dd51802411f3,LOE31_RS23870,Tn3 family transposase,Tn3,tn3_family_unit_transposon,1
NZ_CP025503.1,0795bf32bd8866334c1e02f2f48466e7,CYK96_RS16525,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,3
NZ_CP025503.1,0795bf32bd8866334c1e02f2f48466e7,CYK96_RS16565,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,3
NZ_CP025503.1,0795bf32bd8866334c1e02f2f48466e7,CYK96_RS16615,Rpn family recombination-promoting nuclease/putative transposase,transposase,other_transposase_or_IS,3
